IngredientID,IngredientName,Proof
2009,Fernet Branca,80
2010,Citric acid,
2011,Peach juice,
2012,Apple,
2013,Maple syrup,
2014,Avocado,
2015,Purple passion,
2016,Chocolate syrup,
2017,Swedish Punsch,
2018,Coconut,
2019,Schweppes russian,
2020,Cherry juice,
2021,Raspberry syrup,
2022,Lemon liqueur,
2023,Snowball,
2024,Champagne,
2025,Sake,
2026,Blue Curacao,60
2027,Gummi fish,
2028,Vinegar,
2029,Lilikoi syrup,
2030,Red wine,
2031,Maraschino cherry,
2032,White wine,
2033,Rum,
2034,Nuts,
2035,Ginger,
2036,Pear soft drink,
2037,Almond syrup,
2038,Peach schnapps,48
2039,Hot chocolate,
2040,Pepper sauce,
2041,Absolut Citron,80
2042,Food coloring,
2043,Cream soda,
2044,Grand Marnier,79
2045,Vodka,80
2046,Jose Cuervo,76
2047,Chocolate mint liqueur,
2048,Black rum,
2049,Caffeine citrate,
2050,Clamato juice,
2051,Peachtree schnapps,40
2052,Sprite,
2053,Apple cider,
2054,Caramel liqueur,
2055,Orange,
2056,Campari,41
2057,Daiquiri mix,
2058,Olive juice,
2059,Port,
2060,Surge,
2061,Pernod,80
2062,Creme de cacao,50
2063,Cherry syrup,
2064,Spiced rum,
2065,Allspice,
2066,Coffeemate,
2067,Mello Yello,
2068,Zima,9
2069,Barenjager,70
2070,Hoopers Hooch,9
2071,Southern Comfort,
2072,Madeira,40
2073,Dr. Pepper,
2074,Lemon gin,80
2075,Fruit juice,
2076,Strawberries,
2077,Olive,
2078,Anejo rum,
2079,Grapes,
2080,Benedictine,80
2081,Water,
2082,Orange liqueur,
2083,Metaxa,76
2084,Passion fruit juice,
2085,Limoncello,64
2086,Sugar syrup,
2087,Ouzo,80
2088,Cointreau,80
2089,Kummel,
2090,Chocolate liqueur,
2091,Piña Colada,
2092,Gatorade,
2093,Cherry Cola,
2094,Absolut Kurant,80
2095,Angostura bitters,88
2096,Schweppes,
2097,Sloe gin,57
2098,Cottage cheese,
2099,Beef bouillon,
2100,Erin Cream,
2101,Cranberry juice,
2102,Pina colada mix,
2103,Rosewater,
2104,Amaretto,56
2105,Gin,80
2106,Chocolate milk,
2107,Scotch,80
2108,Tomato juice,
2109,Squirt,
2110,Drambuie,80
2111,Pistachio liqueur,
2112,Sweet Vermouth,30
2113,Anise,
2114,Safari,40
2115,West Coast Cooler,7
2116,Dark rum,
2117,Lemon-lime soda,
2118,Coriander,
2119,Papaya,
2120,Vanilla vodka,80
2121,Beer,
2122,Papaya juice,
2123,Lemon peel,
2124,Orange peel,
2125,Orange soda,
2126,Coconut cream,
2127,Honey,
2128,Margarita mix,
2129,Mandarine Napoleon,76
2130,Strega,
2131,Figs,
2132,Peach liqueur,
2133,Grapefruit juice,
2134,Tequila Rose,34
2135,Raspberry juice,
2136,Lemon vodka,80
2137,Vermouth,30
2138,Cinnamon,
2139,Blackcurrant squash,
2140,Steak sauce,
2141,Creme de noyaux,
2142,Raisins,
2143,Saurer apfel,32
2144,Apple-cranberry juice,
2145,Grape juice,
2146,Coconut liqueur,
2147,Collins mix,
2148,Coconut syrup,
2149,Cider,
2150,Cinzano Orancio,29
2151,Cream,
2152,Applejack,80
2153,Lemon juice,
2154,Pisang Ambon,42
2155,Crystal light,
2156,Ice,
2157,Ale,
2158,Pear syrup,
2159,Butter,
2160,Coffee brandy,
2161,Whipped cream,
2162,Orange bitters,80
2163,Lemon,
2164,Orange vodka,80
2165,Curacao,60
2166,Tang,
2167,Mint schnapps,
2168,Root beer,
2169,Orange spiral,
2170,Fruit punch,
2171,Guinness stout,8
2172,Soda water,
2173,Hot Damn,80
2174,Orange juice,
2175,Condensed milk,
2176,Cocktail onion,
2177,Apple brandy,90
2178,Apple schnapps,
2179,Rye whiskey,80
2180,Tawny port,
2181,Lemon soda,
2182,Gelatin,
2183,Passion fruit syrup,
2184,Bloody mary mix,
2185,Pear,
2186,Cactus Juice liqueur,30
2187,Cappuccino,
2188,Lemon-lime mix,
2189,Amorillo,
2190,Apple juice,
2191,Tequila,80
2192,Cranberry vodka,80
2193,Peppermint schnapps,
2194,White chocolate liqueur,
2195,Fruit,
2196,Schweppes Lemon,
2197,Coconut rum,
2198,Creme de almond,
2199,Cranberries,
2200,Jim Beam,80
2201,Raspberry cordial,
2202,Creme de cassis,50
2203,Almond,
2204,Sambuca,50
2205,Pepsi Cola,
2206,Sugar,
2207,Orgeat syrup,
2208,Galliano,70
2209,Irish cream,34
2210,Carbonated soft drink,
2211,Coffee,
2212,Pineapple,
2213,Red Bull,
2214,Battery,
2215,Rum cream liqueur,
2216,Dark Creme de cacao,50
2217,Raspberry vodka,80
2218,Strawberry vodka,80
2219,Citrus vodka,80
2220,Almond flavoring,
2221,Corona,9
2222,Taboo,29
2223,Jolt Cola,
2224,Banana rum,54
2225,Hpnotiq,34
2226,Unknown: Drink Import Failure,
